CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
14911,4,157,73847.19,4,4,4,444,12,VIPs
17841,1,123,40017.56,4,4,4,444,12,VIPs
15311,0,76,33025.05,4,4,4,444,12,VIPs
13089,2,77,29233.89,4,4,4,444,12,VIPs
12748,0,205,27945.96,4,4,4,444,12,VIPs
16029,38,49,25505.59,3,4,4,344,11,LOYAL
13798,1,48,22908.51,4,4,4,444,12,VIPs
13408,1,57,22897.13,4,4,4,444,12,VIPs
15039,9,47,19914.44,4,4,4,444,12,VIPs
16422,17,41,19362.12,4,4,4,444,12,VIPs
14156,9,30,15997.64,4,4,4,444,12,VIPs
16839,8,33,15606.41,4,4,4,444,12,VIPs
12921,9,36,15238.51,4,4,4,444,12,VIPs
15189,1,40,14941.27,4,4,4,444,12,VIPs
17949,1,31,14778.03,4,4,4,444,12,VIPs
16013,3,32,14743.82,4,4,4,444,12,VIPs
13078,3,26,12627.94,4,4,4,444,12,VIPs
13767,2,33,12471.86,4,4,4,444,12,VIPs
12682,3,31,12288.22,4,4,4,444,12,VIPs
14606,1,93,12156.65,4,4,4,444,12,VIPs
16525,2,25,12052.83,4,4,4,444,12,VIPs
15061,19,31,11952.93,3,4,4,344,11,LOYAL
17675,1,23,11641.68,4,4,4,444,12,VIPs
14051,8,19,11514.64,4,4,4,444,12,VIPs
16133,3,31,11232.19,4,4,4,444,12,VIPs
17735,2,17,11204.06,4,4,4,444,12,VIPs
12971,3,86,11189.91,4,4,4,444,12,VIPs
15856,4,22,10831.45,4,4,4,444,12,VIPs
17428,0,25,10678.35,4,4,4,444,12,VIPs
16779,2,22,10629.72,4,4,4,444,12,VIPs
14646,1,29,10515.65,4,4,4,444,12,VIPs
12681,14,19,10431.37,4,4,4,444,12,VIPs
13113,0,23,10284.91,4,4,4,444,12,VIPs
15078,7,32,9743.11,4,4,4,444,12,VIPs
13098,5,17,9635.15,4,4,4,444,12,VIPs
16523,1,21,9418.47,4,4,4,444,12,VIPs
13694,3,21,9407.32,4,4,4,444,12,VIPs
14194,4,19,9204.06,4,4,4,444,12,VIPs
17389,0,29,9172.0,4,4,4,444,12,VIPs
12621,23,16,9152.03,3,4,4,344,11,LOYAL
15498,2,24,9120.29,4,4,4,444,12,VIPs
14298,8,25,9090.26,4,4,4,444,12,VIPs
13319,5,25,8989.56,4,4,4,444,12,VIPs
17381,8,22,8897.27,4,4,4,444,12,VIPs
12471,10,23,8826.96,4,4,4,444,12,VIPs
17017,2,20,8694.26,4,4,4,444,12,VIPs
17243,1,26,8676.85,4,4,4,444,12,VIPs
17306,10,19,8631.31,4,4,4,444,12,VIPs
14527,2,55,8508.82,4,4,4,444,12,VIPs
15358,4,22,8347.2,4,4,4,444,12,VIPs
15615,31,21,8312.01,3,4,4,344,11,LOYAL
17865,44,18,8252.7,3,4,4,344,11,LOYAL
14056,1,23,8214.65,4,4,4,444,12,VIPs
14667,10,24,8171.91,4,4,4,444,12,VIPs
15159,1,24,8146.5,4,4,4,444,12,VIPs
13854,8,25,8109.52,4,4,4,444,12,VIPs
18109,1,26,8052.97,4,4,4,444,12,VIPs
14796,1,17,8022.49,4,4,4,444,12,VIPs
13199,3,37,7990.24,4,4,4,444,12,VIPs
14849,21,25,7930.54,3,4,4,344,11,LOYAL
12901,8,22,7927.68,4,4,4,444,12,VIPs
13629,23,11,7792.36,3,4,4,344,11,LOYAL
15044,19,17,7700.23,3,4,4,344,11,LOYAL
16656,22,14,7532.36,3,4,4,344,11,LOYAL
13263,1,35,7454.07,4,4,4,444,12,VIPs
12709,15,13,7394.36,4,4,4,444,12,VIPs
12474,17,18,7375.79,4,4,4,444,12,VIPs
15465,19,18,7354.62,3,4,4,344,11,LOYAL
12583,2,15,7281.38,4,4,4,444,12,VIPs
13018,16,28,7277.7,4,4,4,444,12,VIPs
18229,11,20,7276.9,4,4,4,444,12,VIPs
16923,12,19,7247.61,4,4,4,444,12,VIPs
16729,38,21,7239.92,3,4,4,344,11,LOYAL
16745,86,17,7194.3,2,4,4,244,10,REGULARS
13777,0,26,7128.16,4,4,4,444,12,VIPs
16558,0,19,7081.8,4,4,4,444,12,VIPs
16672,2,19,6959.5,4,4,4,444,12,VIPs
16187,31,15,6911.44,3,4,4,344,11,LOYAL
17677,1,23,6840.82,4,4,4,444,12,VIPs
15601,11,14,6776.56,4,4,4,444,12,VIPs
13576,10,18,6717.34,4,4,4,444,12,VIPs
13001,4,11,6701.22,4,4,4,444,12,VIPs
16746,4,18,6697.66,4,4,4,444,12,VIPs
16353,3,23,6675.71,4,4,4,444,12,VIPs
16033,5,18,6668.55,4,4,4,444,12,VIPs
18102,0,17,6602.21,4,4,4,444,12,VIPs
17811,4,38,6566.18,4,4,4,444,12,VIPs
16814,14,21,6509.1,4,4,4,444,12,VIPs
12431,35,15,6487.45,3,4,4,344,11,LOYAL
13102,1,24,6424.09,4,4,4,444,12,VIPs
13871,22,13,6403.25,3,4,4,344,11,LOYAL
15005,15,28,6316.57,4,4,4,444,12,VIPs
12980,157,8,6297.78,1,4,4,144,9,REGULARS
17315,1,38,6292.26,4,4,4,444,12,VIPs
12683,4,13,6288.72,4,4,4,444,12,VIPs
14367,8,13,6250.84,4,4,4,444,12,VIPs
17581,0,21,6245.78,4,4,4,444,12,VIPs
13488,17,11,6228.1,4,4,4,444,12,VIPs
14057,23,17,6217.96,3,4,4,344,11,LOYAL
15194,3,14,6194.86,4,4,4,444,12,VIPs
14060,4,19,6140.42,4,4,4,444,12,VIPs
13418,11,18,6127.43,4,4,4,444,12,VIPs
17509,57,8,6115.14,2,4,4,244,10,REGULARS
13090,8,12,6108.73,4,4,4,444,12,VIPs
14735,3,32,6065.69,4,4,4,444,12,VIPs
13985,4,14,6041.91,4,4,4,444,12,VIPs
13097,32,10,6010.42,3,4,4,344,11,LOYAL
13458,7,11,5956.39,4,4,4,444,12,VIPs
16684,11,15,5946.38,4,4,4,444,12,VIPs
13534,2,25,5870.08,4,4,4,444,12,VIPs
14031,7,11,5840.61,4,4,4,444,12,VIPs
13050,14,17,5836.86,4,4,4,444,12,VIPs
16713,18,14,5807.61,4,4,4,444,12,VIPs
12989,3,14,5782.91,4,4,4,444,12,VIPs
12720,2,25,5781.73,4,4,4,444,12,VIPs
13881,3,12,5763.52,4,4,4,444,12,VIPs
15218,10,11,5756.89,4,4,4,444,12,VIPs
15023,3,10,5750.77,4,4,4,444,12,VIPs
13178,26,11,5725.47,3,4,4,344,11,LOYAL
13468,1,37,5704.97,4,4,4,444,12,VIPs
15249,31,12,5686.64,3,4,4,344,11,LOYAL
14110,3,12,5683.15,4,4,4,444,12,VIPs
13004,11,18,5655.91,4,4,4,444,12,VIPs
18118,10,26,5653.82,4,4,4,444,12,VIPs
14688,7,21,5630.87,4,4,4,444,12,VIPs
17757,1,30,5605.29,4,4,4,444,12,VIPs
12839,2,14,5591.42,4,4,4,444,12,VIPs
16161,1,19,5575.56,4,4,4,444,12,VIPs
13969,7,15,5561.09,4,4,4,444,12,VIPs
16333,7,11,5559.92,4,4,4,444,12,VIPs
15144,8,16,5549.74,4,4,4,444,12,VIPs
16985,17,10,5464.12,4,4,4,444,12,VIPs
16265,9,9,5447.0,4,4,4,444,12,VIPs
18198,4,17,5425.56,4,4,4,444,12,VIPs
17719,37,15,5396.04,3,4,4,344,11,LOYAL
17850,372,34,5391.21,1,4,4,144,9,REGULARS
13269,1,15,5346.23,4,4,4,444,12,VIPs
13324,36,9,5338.71,3,4,4,344,11,LOYAL
17730,3,13,5298.48,4,4,4,444,12,VIPs
13668,2,20,5232.13,4,4,4,444,12,VIPs
13709,3,12,5230.81,4,4,4,444,12,VIPs
18226,44,11,5228.05,3,4,4,344,11,LOYAL
12362,3,10,5226.23,4,4,4,444,12,VIPs
18172,14,18,5212.88,4,4,4,444,12,VIPs
13756,2,14,5189.52,4,4,4,444,12,VIPs
16191,2,13,5180.52,4,4,4,444,12,VIPs
13599,1,21,5153.67,4,4,4,444,12,VIPs
18223,4,13,5095.49,4,4,4,444,12,VIPs
16700,8,13,5076.55,4,4,4,444,12,VIPs
12540,19,10,5076.19,3,4,4,344,11,LOYAL
14562,3,18,5074.77,4,4,4,444,12,VIPs
15301,50,12,5070.35,3,4,4,344,11,LOYAL
15694,0,13,5069.14,4,4,4,444,12,VIPs
15719,32,13,5045.61,3,4,4,344,11,LOYAL
14895,7,16,5020.57,4,4,4,444,12,VIPs
14755,9,11,5010.28,4,4,4,444,12,VIPs
15547,7,14,4954.84,4,4,4,444,12,VIPs
12437,1,18,4951.41,4,4,4,444,12,VIPs
14709,15,13,4921.04,4,4,4,444,12,VIPs
12664,8,9,4881.88,4,4,4,444,12,VIPs
17652,25,12,4867.72,3,4,4,344,11,LOYAL
15838,11,11,4857.96,4,4,4,444,12,VIPs
15738,18,16,4812.42,4,4,4,444,12,VIPs
13013,1,13,4810.94,4,4,4,444,12,VIPs
15555,12,16,4805.17,4,4,4,444,12,VIPs
14415,19,12,4804.33,3,4,4,344,11,LOYAL
15187,1,16,4777.18,4,4,4,444,12,VIPs
16553,163,11,4768.58,1,4,4,144,9,REGULARS
17690,30,15,4757.95,3,4,4,344,11,LOYAL
14180,10,25,4748.52,4,4,4,444,12,VIPs
15152,9,13,4745.69,4,4,4,444,12,VIPs
16722,17,13,4730.81,4,4,4,444,12,VIPs
14159,19,11,4693.01,3,4,4,344,11,LOYAL
14135,1,15,4690.31,4,4,4,444,12,VIPs
14191,1,13,4684.76,4,4,4,444,12,VIPs
15291,25,15,4668.3,3,4,4,344,11,LOYAL
14189,2,15,4654.08,4,4,4,444,12,VIPs
16931,5,21,4604.22,4,4,4,444,12,VIPs
17857,32,14,4592.44,3,4,4,344,11,LOYAL
14944,29,11,4591.43,3,4,4,344,11,LOYAL
14004,43,7,4582.64,3,4,4,344,11,LOYAL
17613,22,14,4559.15,3,4,4,344,11,LOYAL
17068,12,21,4552.14,4,4,4,444,12,VIPs
12415,24,11,4534.57,3,4,4,344,11,LOYAL
13267,2,19,4521.49,4,4,4,444,12,VIPs
17975,15,13,4488.81,4,4,4,444,12,VIPs
14733,16,9,4482.46,4,4,4,444,12,VIPs
14426,23,10,4481.67,3,4,4,344,11,LOYAL
17364,0,11,4481.18,4,4,4,444,12,VIPs
17716,22,10,4480.67,3,4,4,344,11,LOYAL
14085,2,18,4448.54,4,4,4,444,12,VIPs
14534,2,18,4447.05,4,4,4,444,12,VIPs
13069,0,24,4436.12,4,4,4,444,12,VIPs
15955,24,14,4416.26,3,4,4,344,11,LOYAL
16626,0,17,4413.1,4,4,4,444,12,VIPs
12712,28,13,4396.13,3,4,4,344,11,LOYAL
12490,5,9,4382.11,4,4,4,444,12,VIPs
17049,2,8,4376.02,4,4,4,444,12,VIPs
16945,21,19,4345.5,3,4,4,344,11,LOYAL
14800,47,12,4339.74,3,4,4,344,11,LOYAL
16210,9,10,4337.08,4,4,4,444,12,VIPs
18225,3,11,4320.94,4,4,4,444,12,VIPs
16701,8,12,4317.65,4,4,4,444,12,VIPs
17706,4,14,4315.14,4,4,4,444,12,VIPs
15034,15,8,4308.61,4,4,4,444,12,VIPs
15046,9,14,4270.7,4,4,4,444,12,VIPs
17419,11,12,4226.57,4,4,4,444,12,VIPs
15804,0,13,4206.39,4,4,4,444,12,VIPs
17920,4,17,4204.1,4,4,4,444,12,VIPs
15971,17,12,4199.85,4,4,4,444,12,VIPs
12747,2,11,4196.01,4,4,4,444,12,VIPs
18041,11,21,4183.39,4,4,4,444,12,VIPs
17139,15,8,4159.15,4,4,4,444,12,VIPs
12569,2,32,4124.69,4,4,4,444,12,VIPs
16592,4,16,4113.68,4,4,4,444,12,VIPs
17377,23,20,4100.92,3,4,4,344,11,LOYAL
16401,1,12,4098.32,4,4,4,444,12,VIPs
16670,16,11,4095.9,4,4,4,444,12,VIPs
15290,4,15,4090.89,4,4,4,444,12,VIPs
14092,7,14,4076.91,4,4,4,444,12,VIPs
14401,4,13,4051.48,4,4,4,444,12,VIPs
12841,4,25,4022.35,4,4,4,444,12,VIPs
16186,22,12,4006.94,3,4,4,344,11,LOYAL
17769,12,10,3997.98,4,4,4,444,12,VIPs
15529,22,11,3995.23,3,4,4,344,11,LOYAL
17001,0,11,3989.57,4,4,4,444,12,VIPs
17611,7,15,3984.22,4,4,4,444,12,VIPs
12727,10,7,3980.7,4,4,4,444,12,VIPs
14299,8,9,3965.62,4,4,4,444,12,VIPs
13183,7,9,3957.78,4,4,4,444,12,VIPs
17651,11,10,3945.0,4,4,4,444,12,VIPs
14739,4,7,3902.28,4,4,4,444,12,VIPs
13999,10,12,3901.81,4,4,4,444,12,VIPs
18073,114,12,3877.52,2,4,4,244,10,REGULARS
17858,5,11,3850.06,4,4,4,444,12,VIPs
12662,0,11,3849.78,4,4,4,444,12,VIPs
16327,14,6,3844.22,4,4,4,444,12,VIPs
13266,11,12,3834.26,4,4,4,444,12,VIPs
17091,2,9,3827.76,4,4,4,444,12,VIPs
15867,5,15,3812.64,4,4,4,444,12,VIPs
15298,2,11,3809.9,4,4,4,444,12,VIPs
13435,5,7,3809.89,4,4,4,444,12,VIPs
16145,8,11,3799.49,4,4,4,444,12,VIPs
12757,15,10,3794.27,4,4,4,444,12,VIPs
16168,10,27,3787.6,4,4,4,444,12,VIPs
12562,8,7,3781.74,4,4,4,444,12,VIPs
15939,89,13,3777.41,2,4,4,244,10,REGULARS
12955,1,10,3762.36,4,4,4,444,12,VIPs
16904,4,16,3754.27,4,4,4,444,12,VIPs
18092,2,7,3746.16,4,4,4,444,12,VIPs
17238,2,17,3744.65,4,4,4,444,12,VIPs
13552,66,12,3740.07,2,4,4,244,10,REGULARS
16570,15,10,3738.4,4,4,4,444,12,VIPs
14282,3,15,3729.34,4,4,4,444,12,VIPs
12647,22,12,3722.82,3,4,4,344,11,LOYAL
14364,108,8,3717.35,2,4,4,244,10,REGULARS
16767,30,10,3714.58,3,4,4,344,11,LOYAL
15845,17,8,3711.77,4,4,4,444,12,VIPs
13148,29,12,3707.12,3,4,4,344,11,LOYAL
17819,71,7,3704.87,2,4,4,244,10,REGULARS
12553,8,10,3692.28,4,4,4,444,12,VIPs
14390,10,8,3678.01,4,4,4,444,12,VIPs
17365,12,7,3675.09,4,4,4,444,12,VIPs
14952,59,8,3670.49,2,4,4,244,10,REGULARS
15150,17,9,3660.16,4,4,4,444,12,VIPs
12476,25,9,3654.29,3,4,4,344,11,LOYAL
13137,10,8,3650.41,4,4,4,444,12,VIPs
12417,3,9,3649.1,4,4,4,444,12,VIPs
16712,9,11,3645.43,4,4,4,444,12,VIPs
15727,16,6,3642.11,4,4,4,444,12,VIPs
13426,0,10,3641.32,4,4,4,444,12,VIPs
12619,16,9,3641.24,4,4,4,444,12,VIPs
13381,31,6,3639.31,3,4,4,344,11,LOYAL
14543,28,16,3630.33,3,4,4,344,11,LOYAL
15513,33,12,3628.8,3,4,4,344,11,LOYAL
17528,1,8,3628.5,4,4,4,444,12,VIPs
13327,38,8,3627.77,3,4,4,344,11,LOYAL
13520,58,6,3624.35,2,4,4,244,10,REGULARS
17576,8,19,3622.68,4,4,4,444,12,VIPs
14040,40,12,3614.92,3,4,4,344,11,LOYAL
16242,8,7,3603.21,4,4,4,444,12,VIPs
14132,2,11,3586.03,4,4,4,444,12,VIPs
17809,16,11,3576.31,4,4,4,444,12,VIPs
18055,7,7,3568.13,4,4,4,444,12,VIPs
17491,1,10,3558.87,4,4,4,444,12,VIPs
15544,9,9,3546.71,4,4,4,444,12,VIPs
12428,25,7,3538.44,3,4,4,344,11,LOYAL
17061,73,10,3530.73,2,4,4,244,10,REGULARS
17160,31,6,3518.03,3,4,4,344,11,LOYAL
13953,7,7,3515.68,4,4,4,444,12,VIPs
14395,2,9,3507.71,4,4,4,444,12,VIPs
15299,67,6,3503.81,2,4,4,244,10,REGULARS
16458,2,18,3482.74,4,4,4,444,12,VIPs
13993,42,9,3466.36,3,4,4,344,11,LOYAL
13014,10,10,3466.28,4,4,4,444,12,VIPs
17758,19,8,3456.7,3,4,4,344,11,LOYAL
15410,84,8,3450.84,2,4,4,244,10,REGULARS
13536,1,7,3448.29,4,4,4,444,12,VIPs
15129,50,11,3447.4,3,4,4,344,11,LOYAL
14866,10,9,3445.18,4,4,4,444,12,VIPs
15974,39,7,3442.15,3,4,4,344,11,LOYAL
17725,16,11,3439.08,4,4,4,444,12,VIPs
12567,96,6,3436.23,2,4,4,244,10,REGULARS
14221,42,9,3432.8,3,4,4,344,11,LOYAL
15805,23,15,3413.49,3,4,4,344,11,LOYAL
12637,67,6,3412.5,2,4,4,244,10,REGULARS
15981,24,8,3408.48,3,4,4,344,11,LOYAL
17669,42,7,3406.72,3,4,4,344,11,LOYAL
13198,10,6,3401.24,4,4,4,444,12,VIPs
13842,58,9,3385.62,2,4,4,244,10,REGULARS
15093,18,5,3376.62,4,4,4,444,12,VIPs
15708,40,7,3364.24,3,4,4,344,11,LOYAL
16011,8,16,3362.71,4,4,4,444,12,VIPs
15640,16,7,3358.59,4,4,4,444,12,VIPs
14227,26,10,3350.96,3,4,4,344,11,LOYAL
16818,10,11,3349.57,4,4,4,444,12,VIPs
16607,17,14,3347.71,4,4,4,444,12,VIPs
17183,7,6,3347.31,4,4,4,444,12,VIPs
17567,7,7,3343.45,4,4,4,444,12,VIPs
12594,37,10,3338.22,3,4,4,344,11,LOYAL
14525,43,8,3335.58,3,4,4,344,11,LOYAL
16556,66,7,3313.79,2,4,4,244,10,REGULARS
14841,53,6,3295.76,2,4,4,244,10,REGULARS
12627,10,6,3294.81,4,4,4,444,12,VIPs
14702,1,17,3292.14,4,4,4,444,12,VIPs
12481,22,8,3287.35,3,4,4,344,11,LOYAL
15632,15,8,3285.31,4,4,4,444,12,VIPs
17723,127,6,3276.4,2,4,4,244,10,REGULARS
13047,31,10,3237.54,3,4,4,344,11,LOYAL
15443,1,7,3236.91,4,4,4,444,12,VIPs
17050,96,6,3228.84,2,4,4,244,10,REGULARS
13880,21,13,3219.77,3,4,4,344,11,LOYAL
13268,17,11,3214.69,4,4,4,444,12,VIPs
14388,10,8,3212.84,4,4,4,444,12,VIPs
15570,7,11,3206.7,4,4,4,444,12,VIPs
16107,17,7,3204.16,4,4,4,444,12,VIPs
17220,24,14,3198.25,3,4,4,344,11,LOYAL
13139,16,6,3191.32,4,4,4,444,12,VIPs
13758,11,7,3190.55,4,4,4,444,12,VIPs
14844,63,4,3189.81,2,3,4,234,9,BIG SPENDER
17231,12,10,3174.32,4,4,4,444,12,VIPs
16837,31,11,3170.98,3,4,4,344,11,LOYAL
15861,12,8,3165.36,4,4,4,444,12,VIPs
12500,23,10,3161.17,3,4,4,344,11,LOYAL
17338,161,5,3142.48,1,4,4,144,9,REGULARS
12444,21,4,3135.26,3,3,4,334,10,BIG SPENDER
13742,16,12,3131.02,4,4,4,444,12,VIPs
16156,8,9,3122.04,4,4,4,444,12,VIPs
16326,5,14,3110.96,4,4,4,444,12,VIPs
16678,2,12,3109.99,4,4,4,444,12,VIPs
